Column,objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,department,objectName,title,culture,period,artistDisplayBio,artistAlphaSort,artistNationality,artistGender,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,classification,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber
869,72826.0,False,2005.348a–c,2005,True,https://images.metmuseum.org/CRDImages/as/original/DP144009.jpg,Asian Art,Print,"Plum Blossoms in the Forrest of Ikuta, from the series Bravery-Beauty of the four seasons (Buyū setsugekka no uchi-Ikuta no mori, Ebira no ume)",Japan,Edo period (1615–1868),"Japanese, 1839–1892",Tsukioka Yoshitoshi,Japanese,,1867,1867.0,1867.0,Triptych of woodblock prints; ink and color on paper,"Overall (a): 14 3/4 x 10 in. (37.5 x 25.4 cm)
Overall (b): 14 9/16 x 10 in. (37 x 25.4 cm)
Overall (c): 14 9/16 x 10 in. (37 x 25.4 cm)","[{'elementName': 'Overall', 'elementDescription': 'a', 'elementMeasurements': {'Height': 37.4651, 'Width': 25.4001}}, {'elementName': 'Overall', 'elementDescription': 'c', 'elementMeasurements': {'Height': 37, 'Width': 25.4}}, {'elementName': 'Overall', 'elementDescription': 'b', 'elementMeasurements': {'Height': 37, 'Width': 25.4}}]","Purchase, Friends of Asian Art Gifts, 2005",Prints,2025-06-19T04:50:33.487Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/72826,"[{'term': 'Battles', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300185692', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q178561'}, {'term': 'Swords', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300037048', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q12791'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}]",,False,
870,78453.0,False,2013.251,2013,True,https://images.metmuseum.org/CRDImages/as/original/DP702962.jpg,Asian Art,Bowl,Bowl decorated with auspicious characters,Korea,Joseon dynasty (1392–1910),,,,,19th century,1800.0,1899.0,Porcelain with cobalt-blue design,H. 2 3/4 in. (7 cm); Diam. of rim 8 1/4 in. (21 cm); Diam. of base 2 7/8 in. (7.3 cm),"[{'elementName': 'Storage', 'elementDescription': 'CSR Survey', 'elementMeasurements': {'Depth': 23.495047, 'Height': 12.700026, 'Weight': 0.68039554, 'Width': 23.495047}}, {'elementName': 'Overall', 'elementDescription': 'CSR Survey', 'elementMeasurements': {'Diameter': 20.955042, 'Height': 7.620015, 'Weight': 0.5443164}}, {'elementName': 'Diam. of base', 'elementDescription': None, 'elementMeasurements': {'Diameter': 7.3025146}}, {'elementName': 'Diam. of rim', 'elementDescription': None, 'elementMeasurements': {'Diameter': 20.955042}}]","Purchase, Friends of Asian Art Gifts, 2013",Ceramics,2025-09-24T04:50:58.447Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/78453,,,False,
871,839091.0,False,2020.123,2020,True,https://images.metmuseum.org/CRDImages/as/original/DP-20782-003.jpg,Asian Art,Censer,Tripod incense burner,China,Yuan Dynasty (1271–1368),,,,,14th century,1300.0,1368.0,Copper alloy,H. 6 3/8 × Diam. 6 1/4 in. (16.2 × 15.9 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Diameter': 15.875031, 'Height': 16.2, 'Weight': 0.45359704}}]","Purchase, Friends of Asian Art Gifts, 2020",Metalwork,2025-09-30T04:51:13.59Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/839091,,https://www.wikidata.org/wiki/Q116389646,False,
873,62002.0,False,2001.442,2001,True,https://images.metmuseum.org/CRDImages/as/original/DP-18070-024.jpg,Asian Art,Hanging scroll,Guan Yu,China,Qing dynasty (1644–1911),,Unidentified artist,,,ca. 1700,1690.0,1710.0,"Hanging scroll; ink, color, and gold on silk","Image: 68 1/8 x 36 7/16 in. (173 x 92.6 cm)
Overall with mounting: 105 1/8 x 48 11/16 in. (267 x 123.7 cm)
Overall with knobs: 105 1/8 x 52 1/2 in. (267 x 133.4 cm)","[{'elementName': 'Overall with knobs', 'elementDescription': None, 'elementMeasurements': {'Height': 267.018, 'Width': 133.3503}}, {'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 173.0378, 'Width': 92.5514}}, {'elementName': 'Overall with mounting', 'elementDescription': None, 'elementMeasurements': {'Height': 267.018, 'Width': 123.6665}}, {'elementName': 'Storage', 'elementDescription': 'Storage box needed', 'elementMeasurements': {'Diameter': 6.35, 'Height': 132.7153}}]","Purchase, The B. Y. Lam Fund and Friends of Asian Art Gifts, in honor of Douglas Dillon, 2001",Paintings,2025-10-21T13:08:39.33Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/62002,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}]",https://www.wikidata.org/wiki/Q78719412,True,
874,37970.0,False,1991.152,1991,True,https://images.metmuseum.org/CRDImages/as/original/DT5055.jpg,Asian Art,Painting,"Portrait of a monk, possibly Chen Nga Tshultrim Bar, extending a blessing",China,,,,,,late 11th–early 12th century,1068.0,1133.0,Distemper on cloth,"Overall: 18 1/4 x 14 1/4 in. (46.4 x 36.2 cm)
Framed: 31 3/4 x 21 13/16 in. (80.6 x 55.4 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 46.4, 'Width': 36.2}}, {'elementName': 'Framed', 'elementDescription': None, 'elementMeasurements': {'Height': 80.645164, 'Width': 55.403862}}]","Purchase, Friends of Asian Art Gifts, 1991",Paintings,2025-10-21T13:08:39.33Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/37970,"[{'term': 'Birds', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266506', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5113'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Portraits', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300015637', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q134307'}, {'term': 'Elephants', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250160', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q7378'}, {'term': 'Buddhism', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300073738', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q748'}]",https://www.wikidata.org/wiki/Q78878868,True,
875,61868.0,False,2001.457,2001,True,https://images.metmuseum.org/CRDImages/as/original/DP158223.jpg,Asian Art,Panel,Textile with deer and a woven inscription,China,,,,,,3rd–5th century,200.0,499.0,Warp-faced compound plain-weave silk,Overall: 25 1/4 × 19 5/8 in. (64.1 × 49.8 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 64.1351, 'Width': 49.8476}}, {'elementName': 'Overall', 'elementDescription': 'before conservation, unfolded', 'elementMeasurements': {'Height': 65.7, 'Width': 49.5}}]","Purchase, Friends of Asian Art Gifts, in honor of Douglas Dillon, 2001",Textiles-Woven,2025-08-13T04:50:05.14Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/61868,,,False,
876,754547.0,False,2018.22,2018,True,https://images.metmuseum.org/CRDImages/as/original/DP-16218-006.jpg,Asian Art,Hanging scroll,Boy’s Day Carp Streamer and Shōki Banner,Japan,Meiji period (1868–1911),"Japanese, 1831–1889",Kawanabe Kyōsai,Japanese,,before 1870,1831.0,1869.0,Hanging scroll; ink and color on silk,"Image: 37 1/4 × 14 1/8 in. (94.6 × 35.8 cm)
Overall with mounting: 73 × 19 1/4 in. (185.4 × 48.9 cm)
Overall with knobs: 73 × 21 1/8 in. (185.4 × 53.7 cm)","[{'elementName': 'Overall with knobs', 'elementDescription': None, 'elementMeasurements': {'Height': 185.42036, 'Width': 53.657608}}, {'elementName': 'Overall with mounting', 'elementDescription': None, 'elementMeasurements': {'Height': 185.42036, 'Width': 48.8951}}, {'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 94.61519, 'Width': 35.8}}]","Purchase, Friends of Asian Art Gifts, 2018",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/754547,,https://www.wikidata.org/wiki/Q78612129,False,
877,839217.0,False,2020.348,2020,False,,Asian Art,Wrist rest,Wrist rest decorated with landscape,China,,"Chinese, 1890–1979",Jin Xiya,Chinese,,1923,1923.0,1923.0,Bamboo carved in relief,H. 12 3/4 in. (32.4 cm); W. 3 1/4 in. (8.3 cm); D. 1 in. (2.5 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 32.385063, 'Length': 2.540005, 'Width': 8.255016}}]","Florence and Herbert Irving Acquisitions Fund for Asian Art, 2020",Bamboo,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/839217,,,False,
878,839218.0,False,2020.350,2020,False,,Asian Art,Wrist rest,Wrist rest decorated with an ear of corn and snail,China,,"Chinese, 1890–1979",Jin Xiya,Chinese,,1925,1925.0,1925.0,Bamboo carved in relief,H. 11 3/8 in. (28.9 cm); W. 3 3/8 in. (8.6 cm); D. 1 in. (2.5 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 28.892557, 'Length': 2.540005, 'Width': 8.572517}}]","Florence and Herbert Irving Acquisitions Fund for Asian Art, 2020",Bamboo,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/839218,,,False,
879,843761.0,False,"2020.331a, b",2020,True,https://images.metmuseum.org/CRDImages/as/original/DP-24061-001.jpg,Asian Art,Inkstone and cover,Inkstone and cover with mandarin ducks in a lotus pond,China,Song dynasty (960–1279),,,,,11th–12th century,1000.0,1199.0,She stone,L. 4 1/4 in. (10.8 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Length': 10.795022}}]","Purchase, Friends of Asian Art Gifts, 2020",Inkstone,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/843761,,,False,
880,839242.0,False,2020.346,2020,False,,Asian Art,Folding fan,Folding fan with bamboo frame carved with spider and bamboos,China,,"Chinese, 1890–1979",Jin Xiya,Chinese,,1960,1960.0,1960.0,Folding fan with plain paper; carved bamboo frame,13 × 17 in. (33 × 43.2 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 33.020065, 'Width': 43.180088}}]","Florence and Herbert Irving Acquisitions Fund for Asian Art, 2020",Fans,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/839242,,,False,
881,839240.0,False,2020.345,2020,False,,Asian Art,Folding fan,Folding fan with bamboo frame carved with tree peonies and fingered citrons,China,,"Chinese, 1890–1979",Jin Xiya,Chinese,,1949,1949.0,1949.0,Folding fan with plain paper; carved bamboo frame,10 3/8 × 14 1/8 in. (26.4 × 35.9 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 26.352552, 'Width': 35.87757}}]","Florence and Herbert Irving Acquisitions Fund for Asian Art, 2020",Fans,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/839240,,,False,
882,838927.0,False,2021.4,2021,False,,Asian Art,Bowl,Bowl “Deer-Antler Sand”,China,,"Chinese, born 1955",Gan Erke,Chinese,,2011,2011.0,2011.0,"Marbled lacquer (xipi) with gold foils, gold rim",H. 2 1/2 in. (6.4 cm); Diam. 4 7/8 in. (6.4 × 12.4 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Diameter': 12.3825245, 'Height': 6.350013}}]","Purchase, Friends of Asian Art Gifts, 2021",Lacquer,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/838927,,,False,
883,838926.0,False,2021.3,2021,False,,Asian Art,Bowl,Bowl “Red Gold”,China,,"Chinese, born 1955",Gan Erke,Chinese,,2011,2011.0,2011.0,"Marbled lacquer (xipi) with gold foils, gold rim",H. 2 1/2 in. (6 cm); Diam. 4 7/8 in. (12.4 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Diameter': 12.3825245, 'Height': 6.350013}}]","Purchase, Friends of Asian Art Gifts, 2021",Lacquer,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/838926,,,False,
884,838929.0,False,2021.6,2021,False,,Asian Art,Vase,Vase “Tang Flow”,China,,"Chinese, born 1955",Gan Erke,Chinese,,2011,2011.0,2011.0,Marbled lacquer (xipi) with gold foils,H. 4 15/16 in. (12.5 cm); Diam. 5 in. (12.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Diameter': 12.700026, 'Height': 12.541275}}]","Purchase, Friends of Asian Art Gifts, 2021",Lacquer,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/838929,,,False,
885,714942.0,False,2016.486,2016,True,https://images.metmuseum.org/CRDImages/as/original/DP-18092-002.jpg,Asian Art,Hanging scroll,Daoist immortal Li Tieguai receiving a visitor,China,Ming dynasty (1368–1644),,Unidentified artist,,,15th–16th century,1400.0,1599.0,Hanging scroll; ink and color on silk,Image: 51 7/8 × 29 7/16 in. (131.7 × 74.8 cm),"[{'elementName': 'Image', 'elementDescription': None, 'elementMeasurements': {'Height': 131.7, 'Width': 74.8}}]","Purchase, Friends of Asian Art Gifts, 2016",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/714942,,https://www.wikidata.org/wiki/Q78613480,False,
886,645188.0,False,2014.220a–j,2014,False,,Asian Art,Albums,Odes,China,,"Chinese, born 1984","Sui, Taca",Chinese,,2014,2014.0,2014.0,108 silver gelatin prints mounted in 9 albums,"Image (each): 3 7/8 × 3 7/8 in. (9.8 × 9.8 cm)
Page (each): 11 1/4 × 6 7/8 in. (28.6 × 17.5 cm)","[{'elementName': 'Image', 'elementDescription': 'each', 'elementMeasurements': {'Height': 9.84252, 'Width': 9.84252}}, {'elementName': 'Overall', 'elementDescription': 'storage box', 'elementMeasurements': {'Height': 8.572517, 'Length': 33.020065, 'Width': 22.860046}}, {'elementName': 'Overall', 'elementDescription': 'each album', 'elementMeasurements': {'Depth': 1.2700025, 'Height': 28.575058, 'Width': 17.462536}}, {'elementName': 'Overall', 'elementDescription': 'page', 'elementMeasurements': {'Height': 28.575058, 'Width': 17.462536}}]","Purchase, Friends of Asian Art Gifts, 2014",Photographs,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/645188,,,False,
887,856947.0,False,2021.333,2021,True,https://images.metmuseum.org/CRDImages/as/original/DP-23309-001.jpg,Asian Art,Drawing,Shiva Ravananugrahamurti; woman holding a flywhisk; rearing yali,India,,,Unidentified,,,ca. 1800,1790.0,1810.0,Ink and wash on J. Whatman paper watermarked 1798,"Sheet (folded): 16 1/8 × 10 1/16 in. (41 × 25.5 cm)
Sheet: 16 1/8 × 20 1/8 in. (41 × 51.1 cm)","[{'elementName': 'Sheet', 'elementDescription': 'folded', 'elementMeasurements': {'Height': 41, 'Width': 25.5}}, {'elementName': 'Sheet', 'elementDescription': None, 'elementMeasurements': {'Height': 40.95758, 'Width': 51.117603}}]","Purchase, Friends of Asian Art Gifts, 2021",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/856947,,https://www.wikidata.org/wiki/Q126118896,False,
888,856948.0,False,2021.334,2021,True,https://images.metmuseum.org/CRDImages/as/original/DP-23310-001.jpg,Asian Art,Drawing,Shiva Ravananugrahamurti; woman holding a flywhisk; rearing yali,India,,,Unidentified,,,ca. 1800,1790.0,1810.0,Ink and wash on J. Whatman paper watermarked 1798,"Sheet (folded): 16 1/8 × 10 1/16 in. (41 × 25.5 cm)
Sheet: 16 1/8 × 20 1/8 in. (41 × 51.1 cm)","[{'elementName': 'Sheet', 'elementDescription': 'folded', 'elementMeasurements': {'Height': 41, 'Width': 25.5}}, {'elementName': 'Sheet', 'elementDescription': None, 'elementMeasurements': {'Height': 40.95758, 'Width': 51.117603}}]","Purchase, Friends of Asian Art Gifts, 2021",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/856948,,https://www.wikidata.org/wiki/Q126118893,False,
889,856942.0,False,2021.328,2021,True,https://images.metmuseum.org/CRDImages/as/original/DP-23304-001.jpg,Asian Art,Drawings,Sundareshvara feeding sugarcane to the elephant,India,,,Unidentified,,,ca. 1800,1790.0,1810.0,Ink and wash on J. Whatman paper watermarked 1798,"Sheet (folded): 16 1/8 × 10 1/16 in. (41 × 25.5 cm)
Sheet: 16 1/8 × 20 1/8 in. (41 × 51.1 cm)","[{'elementName': 'Sheet', 'elementDescription': 'folded', 'elementMeasurements': {'Height': 41, 'Width': 25.5}}, {'elementName': 'Sheet', 'elementDescription': None, 'elementMeasurements': {'Height': 40.95758, 'Width': 51.117603}}]","Purchase, Friends of Asian Art Gifts, 2021",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/856942,,https://www.wikidata.org/wiki/Q126118910,False,
890,856943.0,False,2021.329,2021,True,https://images.metmuseum.org/CRDImages/as/original/DP-23305-001.jpg,Asian Art,Drawing,"Marriage of Minakshi and Sundarehsvara, attended by Vishnu",India,,,Unidentified,,,ca. 1800,1790.0,1810.0,Ink and wash on J. Whatman paper watermarked 1798,"Sheet (folded): 16 1/8 × 10 1/16 in. (41 × 25.5 cm)
Sheet: 16 1/8 × 20 1/8 in. (41 × 51.1 cm)","[{'elementName': 'Sheet', 'elementDescription': 'folded', 'elementMeasurements': {'Height': 41, 'Width': 25.5}}, {'elementName': 'Sheet', 'elementDescription': None, 'elementMeasurements': {'Height': 40.95758, 'Width': 51.117603}}]","Purchase, Friends of Asian Art Gifts, 2021",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/856943,,https://www.wikidata.org/wiki/Q126118908,False,
891,856951.0,False,2021.337,2021,True,https://images.metmuseum.org/CRDImages/as/original/DP-23313-001.jpg,Asian Art,Drawing,Sundareshvara teaching a bird a mantra; Nandishvara.,India,,,Unidentified,,,ca. 1800,1790.0,1810.0,Ink and wash on J. Whatman paper watermarked 1798,"Sheet (folded): 16 1/8 × 10 1/16 in. (41 × 25.5 cm)
Sheet: 16 1/8 × 20 1/8 in. (41 × 51.1 cm)","[{'elementName': 'Sheet', 'elementDescription': 'folded', 'elementMeasurements': {'Height': 41, 'Width': 25.5}}, {'elementName': 'Sheet', 'elementDescription': None, 'elementMeasurements': {'Height': 40.95758, 'Width': 51.117603}}]","Purchase, Friends of Asian Art Gifts, 2021",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/856951,,https://www.wikidata.org/wiki/Q126118885,False,
892,856952.0,False,2021.338,2021,True,https://images.metmuseum.org/CRDImages/as/original/DP-23314-001.jpg,Asian Art,Drawing,Sundareshvara teaching a bird a mantra,India,,,Unidentified,,,ca. 1800,1790.0,1810.0,Ink and wash on J. Whatman paper watermarked 1798,"Sheet (folded): 16 1/8 × 10 1/16 in. (41 × 25.5 cm)
Sheet: 16 1/8 × 20 1/8 in. (41 × 51.1 cm)","[{'elementName': 'Sheet', 'elementDescription': 'folded', 'elementMeasurements': {'Height': 41, 'Width': 25.5}}, {'elementName': 'Sheet', 'elementDescription': None, 'elementMeasurements': {'Height': 40.95758, 'Width': 51.117603}}]","Purchase, Friends of Asian Art Gifts, 2021",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/856952,,https://www.wikidata.org/wiki/Q126118883,False,
893,856958.0,False,2021.344,2021,True,https://images.metmuseum.org/CRDImages/as/original/DP-23320-001.jpg,Asian Art,Drawing,Kali,India,,,Unidentified,,,ca. 1800,1790.0,1810.0,Ink and wash on J. Whatman paper watermarked 1798,"Sheet (folded): 16 1/8 × 10 1/16 in. (41 × 25.5 cm)
Sheet: 16 1/8 × 20 1/8 in. (41 × 51.1 cm)","[{'elementName': 'Sheet', 'elementDescription': 'folded', 'elementMeasurements': {'Height': 41, 'Width': 25.5}}, {'elementName': 'Sheet', 'elementDescription': None, 'elementMeasurements': {'Height': 40.95758, 'Width': 51.117603}}]","Purchase, Friends of Asian Art Gifts, 2021",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/856958,,https://www.wikidata.org/wiki/Q126118860,False,
894,856957.0,False,2021.343,2021,True,https://images.metmuseum.org/CRDImages/as/original/DP-23319-001.jpg,Asian Art,Drawing,Subramanya,India,,,Unidentified,,,ca. 1800,1790.0,1810.0,Ink and wash on J. Whatman paper watermarked 1798,"Sheet (folded): 16 1/8 × 10 1/16 in. (41 × 25.5 cm)
Sheet: 16 1/8 × 20 1/8 in. (41 × 51.1 cm)","[{'elementName': 'Sheet', 'elementDescription': 'folded', 'elementMeasurements': {'Height': 41, 'Width': 25.5}}, {'elementName': 'Sheet', 'elementDescription': None, 'elementMeasurements': {'Height': 40.95758, 'Width': 51.117603}}]","Purchase, Friends of Asian Art Gifts, 2021",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/856957,,https://www.wikidata.org/wiki/Q126118865,False,
895,856953.0,False,2021.339,2021,True,https://images.metmuseum.org/CRDImages/as/original/DP-23315-001.jpg,Asian Art,Drawing,Shiva Urdhvatandava,India,,,Unidentified,,,ca. 1800,1790.0,1810.0,Ink and wash on J. Whatman paper watermarked 1798,"Sheet (folded): 16 1/8 × 10 1/16 in. (41 × 25.5 cm)
Sheet: 16 1/8 × 20 1/8 in. (41 × 51.1 cm)","[{'elementName': 'Sheet', 'elementDescription': 'folded', 'elementMeasurements': {'Height': 41, 'Width': 25.5}}, {'elementName': 'Sheet', 'elementDescription': None, 'elementMeasurements': {'Height': 40.95758, 'Width': 51.117603}}]","Purchase, Friends of Asian Art Gifts, 2021",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/856953,,https://www.wikidata.org/wiki/Q126118880,False,
896,856955.0,False,2021.341,2021,True,https://images.metmuseum.org/CRDImages/as/original/DP-23317-001.jpg,Asian Art,Drawing,Subramanya,India,,,Unidentified,,,ca. 1800,1790.0,1810.0,Ink and wash on J. Whatman paper watermarked 1798,"Sheet (folded): 16 1/8 × 10 1/16 in. (41 × 25.5 cm)
Sheet: 16 1/8 × 20 1/8 in. (41 × 51.1 cm)","[{'elementName': 'Sheet', 'elementDescription': 'folded', 'elementMeasurements': {'Height': 41, 'Width': 25.5}}, {'elementName': 'Sheet', 'elementDescription': None, 'elementMeasurements': {'Height': 40.95758, 'Width': 51.117603}}]","Purchase, Friends of Asian Art Gifts, 2021",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/856955,,https://www.wikidata.org/wiki/Q126118875,False,
897,856954.0,False,2021.340,2021,True,https://images.metmuseum.org/CRDImages/as/original/DP-23316-001.jpg,Asian Art,Drawing,Brahma,India,,,Unidentified,,,ca. 1800,1790.0,1810.0,Ink and wash on J. Whatman paper watermarked 1798,"Sheet (folded): 16 1/8 × 10 1/16 in. (41 × 25.5 cm)
Sheet: 16 1/8 × 20 1/8 in. (41 × 51.1 cm)","[{'elementName': 'Sheet', 'elementDescription': 'folded', 'elementMeasurements': {'Height': 41, 'Width': 25.5}}, {'elementName': 'Sheet', 'elementDescription': None, 'elementMeasurements': {'Height': 40.95758, 'Width': 51.117603}}]","Purchase, Friends of Asian Art Gifts, 2021",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/856954,,https://www.wikidata.org/wiki/Q126118879,False,
898,856956.0,False,2021.342,2021,True,https://images.metmuseum.org/CRDImages/as/original/DP-23318-001.jpg,Asian Art,Drawing,Subramanya: equestrian warrior with raised spear,India,,,Unidentified,,,ca. 1800,1790.0,1810.0,Ink and wash on J. Whatman paper watermarked 1798,"Sheet (folded): 16 1/8 × 10 1/16 in. (41 × 25.5 cm)
Sheet: 16 1/8 × 20 1/8 in. (41 × 51.1 cm)","[{'elementName': 'Sheet', 'elementDescription': None, 'elementMeasurements': {'Height': 40.95758, 'Width': 51.117603}}, {'elementName': 'Sheet', 'elementDescription': 'folded', 'elementMeasurements': {'Height': 41, 'Width': 25.5}}]","Purchase, Friends of Asian Art Gifts, 2021",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/856956,,https://www.wikidata.org/wiki/Q126118869,False,
899,856949.0,False,2021.335,2021,True,https://images.metmuseum.org/CRDImages/as/original/DP-23311-001.jpg,Asian Art,Drawing,Ardanarishvara; equestrian warrior with raised sword,India,,,Unidentified,,,ca. 1800,1790.0,1810.0,Ink and wash on J. Whatman paper watermarked 1798,"Sheet (folded): 16 1/8 × 10 1/16 in. (41 × 25.5 cm)
Sheet: 16 1/8 × 20 1/8 in. (41 × 51.1 cm)","[{'elementName': 'Sheet', 'elementDescription': 'folded', 'elementMeasurements': {'Height': 41, 'Width': 25.5}}, {'elementName': 'Sheet', 'elementDescription': None, 'elementMeasurements': {'Height': 40.95758, 'Width': 51.117603}}]","Purchase, Friends of Asian Art Gifts, 2021",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/856949,,https://www.wikidata.org/wiki/Q126118890,False,
900,856950.0,False,2021.336,2021,True,https://images.metmuseum.org/CRDImages/as/original/DP-23312-001.jpg,Asian Art,Drawing,Ardanarishvara; woman holding a flywhisk.,India,,,Unidentified,,,ca. 1800,1790.0,1810.0,Ink and wash on J. Whatman paper watermarked 1798,"Sheet (folded): 16 1/8 × 10 1/16 in. (41 × 25.5 cm)
Sheet: 16 1/8 × 20 1/8 in. (41 × 51.1 cm)","[{'elementName': 'Sheet', 'elementDescription': None, 'elementMeasurements': {'Height': 40.95758, 'Width': 51.117603}}, {'elementName': 'Sheet', 'elementDescription': 'folded', 'elementMeasurements': {'Height': 41, 'Width': 25.5}}]","Purchase, Friends of Asian Art Gifts, 2021",Paintings,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/856950,,https://www.wikidata.org/wiki/Q126118889,False,
